submission_title,submission_text,top_comment_1_classification
AITA for telling my son to leave my house after he announced his engagement?,"my son adam's (24) best friend carlos (25) passed away over 2 years ago in a car accident, this loss completely devastated adam to the point where he lost his job, they were like brothers and our family have known his family for years. so we're also very devastated over this loss. 

carlos left behind his girlfriend and their now 4 yo son, we don't know his girlfriend too well since he didn't bring her around much, they were on and off til their son was born. adam told me he had been seeing and taking care of carlos's family's needs which's great, we were glad he was stepping up to make sure that carlos's family were getting help. adam also got a new job and we sort of had limited contact for few months. 

he's started visiting us lately and looked different in general, he is now more calm and smiles more often and is even open to talk about carlos without getting too emotional. i was relieved and happy for him but last week, he contacted me and his dad and said he had something to tell us. he visited and brought carlos's girlfriend and child with him, we had dinner and then he all of a sudden he told us that he and carlos's girlfriend have started dating and announced their engagement there. i was in shock, i didn't expect this at all. i didn't know what to say but i felt upset and shocked mostly. adam noticed my reaction and asked what's wrong, i told him i never expected him to get with his best friend's partner, of all people and talked about how bad this would look to carlos's family who are close friends to ours. carlos's girlfriend excused herself and her son to the bathroom and adam and began arguing, he went on about how i upset his fiancee and that i should be supporting him but i said that he should've told me, and that he shouldn't have got together with his best friend's partner and perhaps use her grief to get her to date him, he acted shocked and called me unbelievable that's when i asked him to leave my house. he got up and left with them. my husband said i messed up by making a scene and reacting the way i did. i went upstairs and stayed alone for an hour. it's been days and adam hasn't called and my husband keep trying to get me to speak to him but i kept saying i needed time.",YTA
"AITA for telling my brother that he's just an ""experiment"" ?","i (22f) and my brother (20m) are attending different colleges, but they're both in the same city. i'm classmates with this guy (22m), let's call him ""david"". he's really handsome, fit and smart, but also quiet the player. most of my female friends have had one night stands with him and there are rumors going around about him sleeping with half the college, including some of the teachers. so imagine my surprise when i found out that my brother started dating him. yeah, he hasn't kept it a secret that he's bi and that he experimented with guys before, but i seriously didn't expect that my brother of all people to be his type. i seriously thought they were gonna break up pretty fast, as david doesn't seem like the type to settle down easily, but surprisingly, him and my brother are still together after over half an year. and my brother has become really annoying during this period, pretty much all he's doing now is gush about david and act like he's the best thing since sliced bread, not to mention how he's following him like a puppy whenever they go together to an event. 

yesterday was my brother's birthday and he once again kept praising david, this time about his cooking skills. apparently he made him a special dinner and birthday cake, which i said that seemed cheap and it's kinda worrying that his own boyfriend doesn't want to spend money on him. my brother intervened and said that he never really liked the material gifts for his birthday and he's so glad that david picked up on that and was willing to put so much effort to make his birthday truly special, which really made him hopeful about their future together. i, however, wasn't impressed and told my brother that he should hold his horses and that david isn't the type to settle down and he's probably just an ""experiment"" to him. my brother asked me what the hell i was talking about and i told him about how he used to sleep with pretty much everyone in college before they started dating and that there are even rumors about him sleeping with teachers just to keep his grades high. and considering that his grades haven't lowered since they started dating, i would be on guard around him if i was in his place. my brother went silent and pretty much stopped talking with me for the rest of the day, but at night i got a message from david telling me to stop spreading ""fake"" rumors about him and to stop trying to sabotage his relationship with my brother. however, i don't really think i was doing any of that, all i did was just warn my brother about the possibility of getting misled by david down the line, but david doesn't see things that way and thinks i'm actively trying to sabotage them.

so aita for expressing my concerns to my brother ?",YTA
AITA for refusing to punish my daughter for taking all the apples that my wife's folks brought from their home country?,"
my wife ""lisa"" has been sick for the past couple of weeks. her folks came over to visit (they live in another country) and brought with them some gifts and a small bag of apples. i was in the backyard while lisa was with her folks. in about 30 minutes i hear my daughter ""alex"" (16) shouting ""dad dad!!"" from the kitchen. i head over to the kitchen and see alex and lisa fighting. i ask lisa why she was yelling at alex and she tells me that alex took all the apples my inlaws brought from home and shared them with her friends upstairs. i tell her alex probably didn't know but she tells me that she explicitly told alex not to touch them. i ask alex if that was true and she tells me yes but that she and her friends couldn't find anything else edible. lisa goes over to the fridge and opens it saying the fridge was literally full of snacks and alex did this just to spite her and basically ""steal"" from her. i tell lisa to calm down and that i'd go get her some from the grocery store, lisa replies that those apples are special because they're from her home country and she needed them for her recovery. she goes on to tell me alex intended to do this and so something needs to happen, a punishment should he issued. i tell alex to go upstairs and lisa and i start arguing. i refuse to punish alex because even if what she did was intentional she's a kid and it's typical behavior. lisa starts ranting about how this scenario keeps happening and i never take a stand but i reply that she's just obssessed with having my daughter punished for some reason. she stops arguing now and stares at me. she then walks out and goes to stay with her folks until they'd left.

later she avoids me and refuses to speak to me. i found this whole thing quite ridiculous because alex is just a kid and so she acts without thinking sometimes but lisa tends to get oversensitive and think everyone is out to get her or something. i'm genuinly confused by her insistance to turn this into a huge deal.",YTA
AITA for not accommodating my brother's vegan fiancee?,"full disclosure, i do eat meat, eggs, and dairy. that being said i'm lazy and prepping and cooking meat takes more work than i'm willing to do a lot of the time, so i've built up a pretty okay repertoire of vegetarian and vegan meals. that's why i volunteered to cook last night for a small family dinner even though i would normally never. love my mom to bits but if the first step isn't browning a pound of ground beef, she's a little lost on what to make.

this is all a thing because my brother has recently gotten engaged to a vegan woman. none of us have really spent a lot of time with her due to pandemics and generally having our own lives. the time i have spent with her has been perfectly nice. i'd thought this would also be perfectly nice.

so i did my best. i put together a dijon vinaigrette salad, pasta tossed with roasted asparagus and cherry tomatoes, and because this is america where carb on carb doesn't have to be just a dream, some bread i fucking vetted to make sure it didn't have milk or eggs in it. she could eat every single thing served.

at least i thought so. we sit down, plates are dished, she has questions. whatever, fair enough. i can imagine that she's been in situations where things seemed safe to eat but surprise, there's honey in the salad dressing or something. reassurances are made, i did my homework but...she has other complaints. you roasted the veggies in olive oil? there's olive oil in the salad dressing? the pasta isn't whole wheat? this is white bread? yes. vegan, all of it, but not stripped down to as few calories as possible. anddddd now she won't eat, just sat there and tore one of the rolls up into tiny pieces until the table was cleared.

my brother texted me later that night about how fucked up it was that she had to go home hungry, and this is where i may be the asshole. i replied something in the effect of saying i thought i had to cook to accommodate veganism, not an eating disorder. he told me to go fuck myself, which again, fair. now i imagine a cold war is brewing and mom is inevitably going to get sucked in. i also could have tried to make something healthier, though i don't think what was served was that bad. aita?",NTA
AITA for my birthday gift to my wife,"my wife and i are tight on money right now and thus, we didn't have anything in the budget for my wife's birthday gift. instead, i sent her to her friends house for a few hours and my kids and i did all the household chores. when she got home, we showed the clean house off to her and told her it was her birthday gift. she said thank you but i could tell she was upset. i pressed her a bit and accused me of seeing her as a maid because i think she should be grateful for something she thinks the kids and i should be doing regularly. i tried to explain that we were just trying to be nice and make things easier for her, and she just kept saying ""this is exactly the problem"" until she told me to just stop talking about it. aita?",YTA
AITA for refusing to pay the babysitter for new glasses after my daughter broke her old ones?,"

i'll preface this by saying that i (m35) am a widower with 2 kids (9, 11). i recently got back to work and since i work nightshifts, i had to get the kids a babysitter (they're at school during the day and my sister stays with them) i was able to find a babysitter with the help of a co worker (actually they're related) and things have been going pretty well except for few days ago.


the babysitter called me while i was at work to tell me that my 9 year old daughter broke her glasses, i got home, heard both sides of the story and came to a conclusion that it was in fact an accident. but the babysitter said my daughter broke them intentionally after she refused to let her outside late in the evening. i asked my 11 year old daughter and she said the babysitter's story is accurate but since she and her sister have a beef then, i figured she lied to set her sister up. my 9 year old daughter cried and said she didn't mean it and it was an accident. i apologized to the babysitter for the misunderstanding but she insisted there was no misunderstanding and then asked me to pay her for a pair of new glasses. i was taken aback by her request and told her i thought we talked this out and rolled it out as an accident but she insisted it wasn't an accident. i apologized but refused and said it was unfair to expect me to pay, especially since she didn't pay attention to keep her glasses safe regardless of wether it was an accident or not. the babysitter argued with me then started crying swearing that my daughter broke them to get back at her. my 11 year old daughter sided with her but my 9 year old said she is only siding with the babysitter for her own benefits. the girls started fighting and i ended up telling the babysitter to leave. she got my co worker involved and she said i should take responsibility and pay the babysitter for new glasses since she can not afford them being a broke college student and in need for glasses. i apologized but refused to pay, my co worker got upset and shamed me for condoning my younger daughter's actions and treating the babysitter poorly when she's the victim in this situation.


it's been days and the babysitter is still wanting me to pay for new glasses but i feel like she's trying to use the fact that i'm in dire need of help and is hoping to get extra money out of my pocket.",YTA
WIBTA if I started calling my white coworkers by random 'white' names?,"i moved from georgia to the pacific northwest last year for a dream job after i graduated college. it was a little bit of a culture shock, because i went from being one of many black people around at any given time to often being the only non-white person in a room, let alone black person. there hasn't been a lot of overt racism, but there's been a lot of strange borderline situations that are amusing and race-related but not necessarily racist. for example, every white woman i meet mentions beyonce to me within the first five minutes. when i was sitting for my driver's license photo the woman taking my picture opened with, 'so... beyonce.'

so the problem in the post title is that i am the only black woman at my office, and i am constantly, constantly being called the wrong name at work, and i'm coming up on my one-year anniversary. my name is tina, short for christina. pronounced just like it looks, very easy name. for some reason, a handful of people at work call me tiana, tiara, or tia, i think assuming that my name has to be more 'black sounding' than it is. i am most often called tiana, especially by one of the guys on our development team and by the 'big boss' for another team, which i think then confuses their team members back into calling me the wrong name again. the other thing is that apparently another black woman (elderly, not in the same position i'm in) used to work there and i get called her name (mary) sometimes too. sometimes people will look at my name plate and ask me, ""how do you pronounce that?"" it's tina!

i have tried politely correcting this and i correct it immediately every time. from polite, ""just for the record, my name is tina!"" to lighthearted, ""tina, like tina belcher!"" in e-mails from me that say tina in a million places, including my e-mail address, i still get, ""thanks tiana!"" sooo... i'm considering doing the twitter approach, where i just respond to coworkers who call me the wrong name with the wrong name. like:

chuck: thanks, tiana

tina: no problem, chad!

jessica: hi tiara!

tina: good morning, jennifer!

would i be the asshole if i did this? i know it's passive aggressive, but every form of polite correction hasn't worked, and i feel really disrespected by this, so i may as well have some fun with it.",NTA
Aita for telling my girlfriend her Nannies were paid to raise her?,"throwaway account because i don't want this linked to my reddit account.


i (21m) have a girlfriend named anna (21f) who comes from a very rich family while i came from a middle class family and while i did grow up with a lot of privileges none of them were in the same level as her's.


anna grew up in a home where house staff, nannies and body guards were common place and while she's a very nice and down to earth person she always had a very sheltered reality. for exemple, she's the kind of person who has a savings account, doesn't eat out every day and regularly donates to charity but thinks that apple products are perfect gifts for whenever she doesn't know what to get someone.


 a few days back we were talking about holidays and i asked her how she spent mother's day, since her mother died when she was a baby and her father never remarried. she just said that the only unsual thing she did on mother's day was that she visited her mom's grave in the morning with her father. i got confused by that then i asked her how she spent the rest of the day and she mentioned that growing up she would make cards and give them to the nannies and they would spend the day playing and eating the sweets she asked her father to order.


i just kinda laughed at that point and she asked me what i was laughing about, then i told her ""you know the nannies were just doing their jobs, right"" she got annoyed and told me that she knew but they raised and loved and the least she could do was to give them their due.


annnd that where i think i might be the asshole, after she told me that i joked ""yeah, i bet the fat paycheck certainly helped them to love you."" because when i said that she got quiet, grabbed her things and left.


since them she's been cold towards me and told me she's rethinking our relationship but i really think she's overreacting.


what do you guys think, am i the asshole?.",YTA
"AITA for bringing up my brother's ""premature"" birth at Christmas dinner to get my parents to shut up?","i am a nurse practitioner and i am the primary care provider for a lot of the low risk maternity cases at the practice where i work.  i also work hand in hand with the doctors and midwives to create a healthy maternity, birth, and postpartum situation. 

my fiancee is completing her residency.  we live together and have for a few years now.  we aren't in any hurry to get married.  we originally had plans to do so a couple of years ago but then we got really busy for two years.  

it is driving my very religious parents crazy that their youngest son is living in sin.  i don't really care.  i'm an adult and i do what i want.  we are getting married in june.  

so we are visiting my parents for christmas. the way it came together this year everyone is at my parents house.  so that's my folks, my three siblings, myself and fiancee, and seven grandchildren.  so seventeen people.  

at dinner my mom starts going on about how she is so glad that we are finally getting married and she won't be embarrassed at church any more.  and my dad says how proud he is of his three older kids who all either waited to get married before moving in together or got married right away after moving in together.  my fiancee was getting embarrassed and i was getting mad over this stupid argument we have had too many times. and a family dinner was the last straw.  

i have asked them repeatedly to just accept that they cannot control how i live my life.  i refuse to stay with them when i visit even if i come alone.  hotels are just easier.  

so i started talking about a premature baby i had been reading about.  it was almost three months premature and weighed about 1.6 pounds. it was super strong and healthy for being born so little and the nicu had high hopes for the baby doing well.  

my mom and dad both got deer in the headlights looks on their faces.  to bad. should not have fucked around with my fiancee's feelings.  

so i asked about my oldest brother.  he was born almost four months premature.  is there a chance that we could check out the family album where we keep all the records of family births and stuff.  

i already know my brother was over 9 pounds and almost 23"" long when he was born.  my grandmother told me all about it the first time my parents tried to shame me. 

the subject gets changed very fast.  after supper my parents told me that i should not try to embarrass them with private things that are not my concern.  i told them that if i heard anything about my living arrangements ever again for the rest of my life i would make sure to keep bringing up the fact that my mom was in her second trimester when they got married.

my parents are mad at me for telling them how to behave in their own home.  but my fiancee is happy that they seem to be off the subject for good.  

aita?",NTA
AITA for saying things my wife gives our infant in front of our child’s doctor?,"my wife and i have a 2 month old daughter. for the past month she’s been feeding our baby mashed potatoes, applesauce, sweet tea, assorted fruit juices and other things.

the last time we went to the doctor, our pediatrician told us to not give her anything but formula until she was between 4-6 months old. my wife does not care and says she knows best for our child and our doctor isn’t the parent. 

our daughter is always constipated and screams for hours at night that my wife says is “colic” i’ve asked her numerous times to stop feeding our infant table food and go back to giving her formula. she is only feeding her one or two bottles of formula while i’m at work. 

the other morning she was cooking scrambled eggs and oatmeal and i was off work so i started to make our daughter a bottle and feed her and she stopped me and told me not to fill her up with that and she wanted her to eat her oatmeal first. i fed her the bottle anyway after a huge argument. 

well baby had a doctors appointment and my wife was talking about the colic and screaming fits and when the doctor asked what she was feeding her she only said “formula” nothing else. i was angry because she lied and told her the pediatrician every single thing that she had been giving her and the doctor strongly recommended her to stop and that she was causing stomach upset and more than likely the reason for all her stomach issues. 

instead of being apologetic for this, my wife is mad at me and told me i “ratted” her out to the doctor and that she doesn’t have to listen to her and that it’s only a recommendation and that i made her look like a bad parent. i tell her what a selfish little twat she was being and now she wants me to go stay with my parents until she forgives me and asks me to come home. aita here? i maybe i shouldn’t have flew mad at her and said some things i did. maybe i should apologize to my wife.",NTA
AITA for hiding embarrassing notes in my house as a joke because I know my fiance's mom snoops?,"i bought a house seven years ago and i met my fiance, al, four years ago this year he moved in. we're talking about making it a home for both of us.

but as of now, he hasn't moved much stuff in, right now 95% of the stuff and furniture in the house is mine. 

when his mom comes over, she's kind of a snoop. he was used to that, but when she comes to our house, it's so uncomfortable because she's just going through my shit. 

when i am bothered, she's like ""i was just helping with chores"" etc. he says i should just let her because she has ""a lot of nervous energy"" 

one thing she snooped on was actually embarrassing. in my home office, i had a little ""affirmation"" post it note on my monitor saying ""i am smart, i am skilled, i am deserving of great things"" it was a silly thing my therapist recommended to get me in a confident mindset before an interview. 

anyway, she made a comment to about my ego... 

but as a joke, i decided to do it again. i had my best friend over and we got wine drunk and wrote a bunch of ""affirmations"" to hide.

some were:

medicine cabinet: my teeth will regrow! i am sharklike and powerful!

kitchen drawers: i know when to spoon, but i also know when to fork! i am sexy and self assured!

work desk: i will not just fuck my way to the top of the company, i will fuck my way to the top of the world! 

walk in closet: i am beautiful with clothes and without! especially without! my boobs are legendary!


there were a bunch more, and my friend and i had a hilarious time writing them. 

next time my mil came over she saw a few. and she didn't acknowledge them to me even though she definitely started acting a little weird about me. 

i went to run some errands and when i was out, she confronted al about the notes and was trying to tell him that i seemed unstable, egotistical, and moving in was a bad idea. she showed him the notes and he didn't really know what to make of it. 

he asked me and i said that they were just some silly private notes to boost my self confidence and make myself laugh; how had she gotten them? had she been going through my things? 

he said she was just tidying, and saw them. and they were real weird.

i was like 'have you met me? you should know how weird i am. anyway if you don't want your mom seeing my weird shit you've got to stop letting her go through my shit""

he asked if i left them on purpose to annoy her, and i admitted that was kinda the joke, but i also have other weird or private shit so what i said about her needing to stop snooping if she didn't want to find weird crap was still for real.

he said i was making stuff hard for him, his mom was really protective and adjusting to him moving in with a girlfriend for the first time, and i was agitating her on purpose and making her think i wouldn't be a good partner, when he wanted her to have the opposite impression of me!

aita for the note prank?",NTA
